Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
T_Ravelli     24 swe 26  2  2  2 40 338 251 251 251   6   0  570   0  31  10   0   0   0   0   0   0   0   0
U_Yarish      27 isr 20  2  2  2 18 402 215 215 215   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Diego_C       31 bra 18  2  2  2 35 423 821 785 785   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Mahar       31 ire  2 27  6 12 22 710  77  67 689   5   0  470   0   0   0   7   2  13   2   0   0   0   0
M_Papineau    26 fra  2 26  3 12  3  39 917 283 719   6   0  570   1   0   0  10   2   6   0   0   0   0   0
C_Davies      23 wal  1 24 21 18 19 876 321 363 566   6   0  570   1   0   0   6   8   8   1   1   0   0   0
C_Sharper     29 eng  2 23  5  9  8 534 246 388 964   1   1    6   0   0   0   0   0   0   0   0   0   0   0
K_Reichley    22 ger  1 23 21 10  9 750 547 204 398   6   0  570   0   0   0   7   5   2   0   0   0   0   0
M_Schutte     22 ger  1 21 11  7  9 966  85 642 133   0   0    0   0   0   0   0   0   0   0   0   0   0   0
T_Feltwell    21 aus  1 21 10 14  8 750 392  55 342   1   0   94   0   0   0   2   0   1   0   0   0   0   0
V_Matera      22 ita  1 20  4 14 35 966 596 809 616   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Fahler      25 aus  1  4 25 10 27 744 595 289  56   6   0  570   0   0   0   1  12   3   0   1   0   0   0
B_delHorno    24 ita  2 13 23  8 55  54 682 813 230   6   0  570   0   0   0   4  12   4   1   3   3   0   0
N_Sirkus      21 usa  1 18 23  9 13 336 886 436 284   6   0  570   1   0   0   7   8   7   2   0   0   0   0
Wes_Pac       22 aus  1 11 23 15 25 468 179  39 208   6   0  570   1   0   0   6  18   5   0   4   6   0   0
E_Den         30 SWE  2  4 22  7 16 819 657 287 873   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Dejager     22 hol  1  7 20 13 15 768 692 830 951   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Kernel      21 aus  1 11 20  7 35 768 255 354  98   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Jax           25 usa  1  5 19 25 14 768  24 855 282   6   0  570   0   0   0   1   3  20   4   0   0   0   0
K_Paprocki    28 rus  1  3  6 24 58 862 772 169 758   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Davies      24 wal  2 15  9 23 13  36 310 119  81   6   0  570   0   0   0   3   7  19   3   0   0   0   0
T_Derene      28 gha  2 14  7 21 22 588 574 524 194   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Gemelke     20 arg  1 11  5 19 30 660 291 609 746   0   0    0   0   0   0   0   0   0   0   0   0   0   0
