Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
A_Fuiner      18 nor 14  1  1  1 52 726 534 534 534   0   0    0   0   0   0   0   0   0   0   0   0   0   0
M_Guest       19 eng  1 17  7  4 19 534 856 118 371   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Von_Ville   19 hol  1 17  2  6 14 408 777 691 277   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Von_Briel   18 hol  1 17  6  5  8 534  15 544 565   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Abuda         19 bra  1  7 18 15 22 464  28 194  75   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Tycehurst   19 aus  1  7 16  6 18 534 488 804 314   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Aldrige     19 ire  1 10 15  3 18 660   7 658 985   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Russi       19 por  1 11 15  6 43 408 460 534 706   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Hussie      17 sco  1  6 14  4 27 408 638 472 902   0   0    0   0   0   0   0   0   0   0   0   0   0   0
O_Gwinnup     17 nir  1  2 14  5  9 408 847 237 408   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Runyon      17 t&t  1  3 13  7 10 408 990 565 855   0   0    0   0   0   0   0   0   0   0   0   0   0   0
