Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
C_Wiggam      30 usa 25  2  2  2 31 155 103 103 103   8   0  763   0  54  18   0   0   0   0   0   0   0   0
Maggie_S      23 usa 22  1  1  1 38 368 588 588 588   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Kaalekahi   30 uae  2 26  6  2 17  39  85 205 579   8   0  763   0   0   0  23   4   1   0   0   0   0   0
Cleetus       29 usa  1 25 14 10 19 480 949 823  79   8   0  763   1   0   0   9   6   9   1   0   0   0   0
S_Albert      22 fra  1 22 11  5 32 594 475 238 953   8   0  646   1   0   0  10   4   2   1   1   0   0   0
C_Bentz       27 ger  2 22 11  4 10 347 496 934 891   8   0  763   0   0   0  12   5   5   1   1   0   0   0
R_Cavender    24 eng  1 21  7 11 19 972 745 965 988   4   3  236   0   0   0   3   1   3   0   0   0   0   0
P_Zaworski    26 pol  2 20  5 10 27 168 818 227 223   0   0    0   0   0   0   0   0   0   0   0   0   0   0
N_Redclay     22 wal  1 19  7 13 31 846 634 809 210   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Karch       29 aus  1  2 24 11 20 972 141 519 736   8   0  763   1   0   0   1  13   9   3   2   6   0   0
S_Curry       24 eng  1  4 23  8 17 432 489 940 615   6   0  534   0   0   0   1  11   5   0   1   0   0   0
O_Sharpe      26 eng  2  7 23 17 13 310  76 191 849   7   0  574   0   0   0   1  12   9   2   0  10   0   0
U_Gilleo      28 ita  2 16 23 11 14 772 751  71 570   6   3  373   0   0   0   2  14   3   0   0   0   0   0
Y_Tadeo       32 fra  2  4 22 13  6  81 325 768 839   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_LaSalle     22 fra  1  6 22 12 16 540 701 369 448   8   0  724   1   0   0   1  17   6   1   4   0   0   0
E_Caye        22 gha  1 14 20  8 35 972 450 476 987   0   0    0   0   0   0   0   0   0   0   0   0   0   0
J_McLovin     31 USA  2  2 13 24 14 507 779 450 817   8   0  763   0   0   0   0   5  18   5   2   3   0   0
K_Kirby       28 eng  2  5  9 23 24 379 565 149  46   6   0  513   0   0   0   0   2  14   2   0  16   0   0
S_Hartsell    26 sco  2  4 13 20 41 186 269 741 406   2   1  130   0   0   0   0   1   3   1   0   0   0   0
Q_Ryberg      20 swe  1  9  6 19 21 576   8 726 422   0   0    0   0   0   0   0   0   0   0   0   0   0   0
