Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
S_Lenegear    20 arg 19  1  1  1 51  91 300 300 300   8   0  767   0  30  14   0   0   0   0   0   0   0   0
U_Kydes       18 gre 18  1  1  1 32 678 450 450 450   3   0  281   0  18   6   0   0   0   0   0   0   0   0
V_Nezbeth     18 rsa 16  1  1  1 40 781 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Tanori      17 bra 14  1  1  1 33 860 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
K_Stevens     18 eng  1 17  3  4 50 300 724 807 307  11   0 1048   0   0   0  14   1   1   0   0   8   0   0
S_Hetet       18 nig  1 17  1  2 43 300 494 941 902  10   0  928   0   0   0   9   0   3   0   0  14   0   0
R_Kitz        19 rsa  1 17  4  6 15 300 494  39 264  11   0 1022   0   0   0  17   1   6   1   0   0   0   0
D_Chisora     18 eng  1 16 13  6  8 300 604 309 347  11   0 1048   0   0   0  15  12   8   1   2   0   0   0
J_Pinna       19 uru  1 16  2  6 14 300 193 216 191   1   0   95   0   0   0   1   0   1   0   0   0   0   0
J_LaForge     18 fra  1 15  5  2  8 300 716 412 447   1   1   12   0   0   0   0   0   0   0   0   0   0   0
L_Selby       17 wal  1 15  7  3 39 300 180  46 984   3   1  200   0   0   0   1   1   0   0   0   2   0   0
B_Bianowicz   20 rus  1  3 17  2 39 300 198 359 996   9   0  724   0   0   0   1  12   1   0   0  10   0   0
A_Rae         18 sco  1  3 16 11 15 300 449 818 885  11   0 1048   0   0   0   1  10   9   0   1   0   0   0
J_Wark        18 sco  1  2 16  3 21 300 659 133 585   3   3  100   0   0   0   0   1   0   0   0   0   0   0
A_Cadot       18 bel  1  2 15  5 25 300 580 744 611   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Canart      17 nig  1  6 15  4 29 300 450 194 517   5   3  245   0   0   0   0   1   2   0   0   0   0   0
R_Gallmeyer   16 rus  1 10 13  4 28 300 419 847 469   5   0  447   0   0   0   2   8   2   0   1   0   0   0
U_Heiserman   21 swe  1  2  3 18 12 300 687 996  91   9   3  634   0   0   0   0   3  16   1   0   2   0   0
P_Gerling     21 wal  1  4  5 17 14 300 264  94 303   9   3  634   0   0   0   2   1  22   0   0   0   0   0
P_Glumac      20 bra  1  2  3 17 24 300 618 844 365   5   0  378   0   0   0   0   0  11   3   0   0   0   0
T_Kinsela     18 ire  1  6  3 16  8 300 740  22 282   5   1  337   1   0   0   1   0   4   2   0   0   0   0
Y_Dinesen     18 den  1  1  2 15 38 300 953 454 839   1   1   19   0   0   0   0   0   0   0   0   0   0   0
