Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
V_Kuring      21 egy 17  1  1  1 12 441 300 300 480   6   0  577   0  20   6   0   0   0   0   0   0   0   0
T_Levengood   18 nig 16  1  1  1 47 548 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
D_Sangare     21 fra  1 19  3  4 52 390 804 885 418   6   0  577   0   0   0   6   0   3   0   0   0   0   0
R_Turkey      21 bra  1 18  8 15 36 300 605 190 602   6   0  577   0   0   0   1   4   6   0   0   0   0   0
Y_Mustard     19 sco  1 18 11  2 45 300  46 487 395   6   2  486   0   0   0   6   3   1   0   0   0   0   0
C_Taco        18 mex  1 17  9  3 52 300 380 533 737   2   0  120   0   0   0   0   1   1   0   0   0   1   0
B_Sprout      18 bel  1 17 11  6 33 300  58 388 775   6   0  462   0   0   0   4   1   2   1   0   0   0   0
P_Chiswell    19 hol  1 16  2  7 47 300 535 924  41   0   0    0   0   0   0   0   0   0   0   0   0   0   0
W_Pillet      18 rsa  1 15  3  1 42 300 854 798 919   4   4   73   0   0   0   1   0   0   0   0   0   0   0
T_Carbonara   17 ita  1 15  4  2 25 300 837 294 732   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Masala      16 sco  1 15  5  1  8 300 108 440 465   0   0    0   0   0   0   0   0   0   0   0   0   0   0
G_Melbourne   17 jap  1 14  3  2 25 300 484 194 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Piri        20 por  1  5 19  5 33 300 421 807 294   6   0  570   0   0   0   1  16   4   1   0   0   0   0
O_Kicyla      20 jap  1 11 19  3 33 300 266 416 914   6   0  577   1   0   0   1  15   4   0   3   2   0   0
I_Stew        20 nir  1  5 18  4 20 300 388 509 556   6   0  577   0   0   0   1   7   6   0   0   4   0   0
H_Gieseman    20 nig  1  2 17  3 15 300 794 490 230   6   6  147   0   0   0   1   3   0   0   0   0   0   0
A_Allpaugh    19 cam  1  5 17  8 12 300 812 876 958   6   0  426   0   0   0   0   7   4   0   1   0   0   0
H_Percy       20 ire  1  2 17  5 20 300 654 282 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Sponge      18 eng  1  3 16  6 11 300 300 729 396   0   0    0   0   0   0   0   0   0   0   0   0   0   0
S_Board       18 swe  1  3 16  5 21 300 602 471 512   0   0    0   0   0   0   0   0   0   0   0   0   0   0
F_Anselmi     18 arg  1  5 15  3 15 300 966 743 415   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Colosky     17 kor  1  2 15  1 42 300 360 475 931   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Cream       16 ire  1  1 15  7 25 300 276  94 402   0   0    0   0   0   0   0   0   0   0   0   0   0   0
C_Brownie     21 usa  1  9  6 19 15 300 164 995 287   6   0  577   2   0   0   1   3  14   2   0   0   0   0
C_Tagine      21 egy  1  7  2 18 69 300 251 734 249   6   0  492   1   0   0   2   0  16   3   0   0   0   0
S_Fish        21 kor  1  3  4 16 17 300 433 177 174   0   0    0   0   0   0   0   0   0   0   0   0   0   0
V_Sushi       21 jap  1  8  4 15 74 300 303 616 205   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Chilli      17 mex  1  5  2 15 26 300 470 878 446   6   6   85   0   0   0   0   0   2   0   0   0   0   0
R_Pork        16 usa  1  6  4 13 19 300 373 531 482   0   0    0   0   0   0   0   0   0   0   0   0   0   0
