Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Straughn    24 aus 22  1  1  1 14 823 300 300 300   9   0  852   0  21   8   0   0   0   0   0   0   0   0
Nani_Javier   24 spa 15  1  1  1  8 978 300 300 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Phantom     27 usa  2 23  2  3 37 300 581 129 183   9   0  852   1   0   0   8   1   1   0   0   2   0   0
J_Baby        29 spa  1 22  7  8 11 300 399 740 518   9   0  852   0   0   0  11   7   9   0   1   0   0   0
F_Cunius      21 egy  1 21  5  3 20 300 969 585 500   9   0  852   1   0   0   9   0   2   0   0   2   0   0
U_Feldevert   21 fra  1 21  4 12  8 300 327 848 185   9   0  852   0   0   0  10   0   9   0   0   0   0   0
Q_Belfoure    20 bel  1 20  3  3 43 300 506 674 722   1   0   95   0   0   0   2   0   0   0   0   0   0   0
X_Szerman     23 rus  1 19  5  3 17 300 108 425 316   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Pizza       24 ita  1 18 14  4 11 300 464 489 519   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Baetge      22 egy  1 18 11  3  9 300 436  64 595   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Fernandes   31 SPA  1  4 24  2 28 390 230 921 784   9   0  852   0   0   0   0  18   1   0   0   2   0   0
M_van_Ginkel  21 hol  1  2 21 11 24 480 685 734 798   9   0  852   0   0   0   1  15   7   0   0   0   0   0
D_Kerzey      29 wal  1  3 21 10 18 300 538  43 862   9   0  852   0   0   0   0  10  12   0   1   0   0   0
W_Brozek      26 cze  2 10 20 15 23 300 237 176  74   9   0  852   2   0   0   1  13  12   3   1   2   0   0
W_Lotterhos   24 bra  1  4 19  4 42 300 781 259 344   0   0    0   0   0   0   0   0   0   0   0   0   0   0
R_Dehnart     21 bra  1 11 18  3 10 400 941 210 736   2   0  192   0   0   0   1   2   0   0   0   0   0   0
A_Giorgadze   29 geo  3  9  9 24 16 300 583  37 887   9   0  852   0   0   0   1   2  21   3   1   0   0   0
Y_Sternaman   26 swe  1  5 12 19 10 300 492 141 453   6   0  565   0   0   0   2   3   9   1   1   0   0   0
E_Buglioli    22 mex  1  4  6 19 44 300 148 215  15   2   0  192   0   0   0   0   0   3   1   0   0   0   0
Q_Groer       25 bra  1  4 10 18 12 300 825 149 257   0   0    0   0   0   0   0   0   0   0   0   0   0   0
