Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Straughn    24 aus 23  1  1  1 14  24 300 300 300  11   0 1043   1  43  10   0   0   0   0   0   0   0   0
Nani_Javier   24 spa 15  1  1  1  8 978 300 300 480   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_Phantom     27 usa  2 23  2  3 37 300 606 119 173  11   0  980   1   0   0   9   1   2   0   0  12   0   1
J_Baby        29 spa  1 22  7  8 11 300 549 782 548  11   0 1043   0   0   0  17   8  10   0   1   0   0   0
F_Cunius      21 egy  1 22  5  3 20 300  90 585 538  11   0 1043   1   0   0  12   0   4   1   0   2   0   0
U_Feldevert   21 fra  1 21  4 12  8 300 397 838 231  11   0 1043   0   0   0  11   0  12   1   0   0   0   0
Q_Belfoure    20 bel  1 20  3  3 43 300 566 674 722   1   0   95   0   0   0   2   0   0   0   0   0   0   0
X_Szerman     23 rus  1 19  5  3 17 300 108 425 316   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Pizza       24 ita  1 18 14  4 11 300 464 489 519   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Y_Baetge      22 egy  1 18 11  3  9 300 436  64 595   0   0    0   0   0   0   0   0   0   0   0   0   0   0
P_Fernandes   31 SPA  1  4 25  2 28 390 230   2 784  11   0 1043   0   0   0   0  23   1   0   1   2   0   0
M_van_Ginkel  21 hol  1  2 21 11 24 480 715 908 866  11   0 1043   0   0   0   1  22  11   1   0   0   0   0
D_Kerzey      29 wal  1  3 21 10 18 300 538  43 862  11   0 1043   0   0   0   0  10  12   0   1   0   0   0
W_Brozek      26 cze  2 10 20 15 23 300 237 212  90  11   0 1013   2   0   0   1  16  15   3   1   2   3   0
W_Lotterhos   24 bra  1  4 19  4 42 300 781 259 344   1   1   30   0   0   0   0   0   0   0   0   0   0   0
R_Dehnart     21 bra  1 11 18  3 10 400 941 270 736   2   0  192   0   0   0   1   2   0   0   0   0   0   0
A_Giorgadze   29 geo  3  9  9 25 16 300 633  79  93  11   0 1043   1   0   0   2   3  32   7   1   0   0   0
E_Cantona     21 fra  1  5 13 19 31 300 513 176 483   9   0  816   0   0   0   1   3  19   3   0   0   0   0
Y_Sternaman   26 swe  1  5 12 19 10 300 492 198 461   7   0  660   0   0   0   2   6  12   1   2   0   0   0
E_Buglioli    22 mex  1  4  6 19 44 300 148 215  15   2   0  192   0   0   0   0   0   3   1   0   0   0   0
Q_Groer       25 bra  1  4 10 18 12 300 825 149 257   0   0    0   0   0   0   0   0   0   0   0   0   0   0
