Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus
------------------------------------------------------------------------------------------------------------
J_Lehmann     25 ire 27  1  1  1 24 480 480 300 300  13   0 1180   0  70  28   0   0   0   0   0   0   0   0
P_Kallar      23 egy 16  1  1  1  8 762 324 324 330   2   2   55   0   2   2   0   0   0   0   0   0   0   0
T_Holberry    25 ire 15  1  1  1 18 491 495 380 380   0   0    0   0   0   0   0   0   0   0   0   0   0   0
E_Duplanty    25 gre 14  1  1  1  9 132 300 300 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0
L_Hofstadter  31 bel  5 27 10  4 36 570 125 762 228  13   0 1151   1   0   0  21   6   9   2   0   0   0   0
H_Lafollette  31 nig  1 26 18 16 23 390 839 906 641  13   0 1235   0   0   0  14  14  21   0   0   2   0   0
Y_Mcqueeney   27 ire  2 25 20 16 16 570 455  31 366  12   0 1055   0   0   0   5  18  12   0   3   2   0   0
A_Carvalho    21 bra  1 21  7 15 12 300 208 214 789  13   0 1235   1   0   0  21   1  11   4   0   0   0   0
M_Keomahavong 26 nzl  1 18  9  7 36 300 493 285  13   4   3  296   0   0   0   1   2   4   0   0   0   0   0
K_Badger      23 gre  1 17  3  4  9 300 893 728  66   1   1   85   0   0   0   1   0   0   0   0   2   0   0
J_Lutters     23 geo  1 16  3  4 61 300 365 530 430   0   0    0   0   0   0   0   0   0   0   0   0   0   0
A_Pilkey      28 aus  1 15  3  6 33 555 114 118 932   0   0    0   0   0   0   0   0   0   0   0   0   0   0
H_Hitit       32 rus  1 14  1  9 11 390 998 661 931   0   0    0   0   0   0   0   0   0   0   0   0   0   0
Besnard_L     32 sco  1 15 25 11 42 390  59 915 791  13   0 1235   0   0   0   6  29  16   3   1   6   0   0
I_Spyra       29 ita  6 13 25 15 29 300 578 349 677  11   0  995   3   0   0   2  29  11   2   5   0   0   0
H_Powers      25 eng  5  9 23  9 22 300 616 128 549  13   0 1235   0   0   0   6  22  11   1   2   2   0   0
B_O'Driscoll  23 ire  1 17 21 13 15 310 461 636 214  11   0  980   0   0   0   5  12  12   1   0   2   0   0
F_Fou         22 kor  1  2 20  5 12 300 363 871 473  10   0  945   0   0   0   0  13   5   1   1   0   0   0
W_Symonette   24 mex  1  8 19  4 31 300 156 199 109   1   0   98   0   0   0   0   2   2   0   0   0   0   0
L_Majan       22 uru  1  3 15  3 12 300 407 269 409   0   0    0   0   0   0   0   0   0   0   0   0   0   0
B_von_Espy    30 ger  1  3 12  3 11 570 512 756  52   0   0    0   0   0   0   0   0   0   0   0   0   0   0
U_Speo        28 jap  1 14 17 24 41 570 328 598 739  13   0 1235   1   0   0   3  12  60   9   2   6   0   0
K_Bush        26 eng  1  6  5 14 13 480 296 314 471   6   0  570   0   0   0   1   3  10   2   0   0   0   0
